Id,ActivityMinute,value,logId,Date
1503960366,2016-03-31 02:46:30,1,11274301836,2016-03-31
1503960366,2016-03-31 02:47:30,1,11274301836,2016-03-31
1503960366,2016-03-31 02:48:30,1,11274301836,2016-03-31
1503960366,2016-03-31 02:49:30,1,11274301836,2016-03-31
1503960366,2016-03-31 02:50:30,1,11274301836,2016-03-31
1503960366,2016-03-31 02:51:30,1,11274301836,2016-03-31
1503960366,2016-03-31 02:52:30,1,11274301836,2016-03-31
1503960366,2016-03-31 02:53:30,1,11274301836,2016-03-31
1503960366,2016-03-31 02:54:30,1,11274301836,2016-03-31
1503960366,2016-03-31 02:55:30,1,11274301836,2016-03-31
1503960366,2016-03-31 02:56:30,1,11274301836,2016-03-31
1503960366,2016-03-31 02:57:30,1,11274301836,2016-03-31
1503960366,2016-03-31 02:58:30,1,11274301836,2016-03-31
1503960366,2016-03-31 02:59:30,1,11274301836,2016-03-31
1503960366,2016-03-31 03:00:30,1,11274301836,2016-03-31
1503960366,2016-03-31 03:01:30,1,11274301836,2016-03-31
1503960366,2016-03-31 03:02:30,1,11274301836,2016-03-31
1503960366,2016-03-31 03:03:30,1,11274301836,2016-03-31
1503960366,2016-03-31 03:04:30,1,11274301836,2016-03-31
1503960366,2016-03-31 03:05:30,1,11274301836,2016-03-31
1503960366,2016-03-31 03:06:30,1,11274301836,2016-03-31
1503960366,2016-03-31 03:07:30,1,11274301836,2016-03-31
1503960366,2016-03-31 03:08:30,1,11274301836,2016-03-31
1503960366,2016-03-31 03:09:30,1,11274301836,2016-03-31
1503960366,2016-03-31 03:10:30,1,11274301836,2016-03-31
1503960366,2016-03-31 03:11:30,1,11274301836,2016-03-31
1503960366,2016-03-31 03:12:30,1,11274301836,2016-03-31
1503960366,2016-03-31 03:13:30,1,11274301836,2016-03-31
1503960366,2016-03-31 03:14:30,1,11274301836,2016-03-31
1503960366,2016-03-31 03:15:30,1,11274301836,2016-03-31
1503960366,2016-03-31 03:16:30,1,11274301836,2016-03-31
1503960366,2016-03-31 03:17:30,1,11274301836,2016-03-31
1503960366,2016-03-31 03:18:30,1,11274301836,2016-03-31
1503960366,2016-03-31 03:19:30,1,11274301836,2016-03-31
1503960366,2016-03-31 03:20:30,1,11274301836,2016-03-31
1503960366,2016-03-31 03:21:30,1,11274301836,2016-03-31
1503960366,2016-03-31 03:22:30,1,11274301836,2016-03-31
1503960366,2016-03-31 03:23:30,1,11274301836,2016-03-31
1503960366,2016-03-31 03:24:30,1,11274301836,2016-03-31
1503960366,2016-03-31 03:25:30,1,11274301836,2016-03-31
1503960366,2016-03-31 03:26:30,1,11274301836,2016-03-31
1503960366,2016-03-31 03:27:30,1,11274301836,2016-03-31
1503960366,2016-03-31 03:28:30,1,11274301836,2016-03-31
1503960366,2016-03-31 03:29:30,1,11274301836,2016-03-31
1503960366,2016-03-31 03:30:30,1,11274301836,2016-03-31
1503960366,2016-03-31 03:31:30,1,11274301836,2016-03-31
1503960366,2016-03-31 03:32:30,1,11274301836,2016-03-31
1503960366,2016-03-31 03:33:30,1,11274301836,2016-03-31
